state number   IDENT          ;              [              ]              VOID           BOOL           INT            FLOAT          (              )              ,              {              }              #              WHILE          IF             ELSE           FOR            RETURN         =              OR             AND            EQ             NE             LE             GE             <              >              +              –              *              /              %              !              -              .              SIZE           BOOL_LIT       INT_LIT        FLOAT_LIT      NEW            BREAK          $              decl_list      decl           if_stmt        comp_stmt      program        local_decl     type_spec      param          stmt_list      expr           return_stmt    while_stmt     params         expr_stmt      param_list     arg_list       args           func_decl      s              opt_expr       break_stmt     for_stmt       var_decl       stmt           local_decls    
20             null           null           null           null           null           null           null           null           null           r16            r16            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
21             s25            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
22             null           null           null           null           r7             r7             r7             r7             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           r7             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
23             null           null           null           null           null           null           null           null           null           null           null           s27            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           26             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
24             null           null           null           null           s7             s8             s9             s10            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           21             28             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
25             null           null           s29            null           null           null           null           null           null           r17            r17            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
26             null           null           null           null           r12            r12            r12            r12            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           r12            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
27             r20            r20            null           null           r20            r20            r20            r20            r20            null           null           r20            r20            null           r20            r20            null           r20            r20            null           null           null           null           null           null           null           null           null           r20            null           null           null           null           r20            r20            null           null           r20            r20            r20            r20            r20            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           30             
28             null           null           null           null           null           null           null           null           null           r15            r15            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
29             null           null           null           s31            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
30             r24            r24            null           null           s7             s8             s9             s10            r24            null           null           r24            r24            null           r24            r24            null           r24            r24            null           null           null           null           null           null           null           null           null           r24            null           null           null           null           r24            r24            null           null           r24            r24            r24            r24            r24            null           null           null           null           null           null           33             34             null           32             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
31             null           null           null           null           null           null           null           null           null           r18            r18            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
32             s52            s45            null           null           null           null           null           null           s56            null           null           s46            s35            null           s49            s47            null           s48            s50            null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            s51            null           null           null           39             38             null           null           null           null           null           44             42             41             null           37             null           null           null           null           null           null           43             40             null           36             null           
33             r21            r21            null           null           r21            r21            r21            r21            r21            null           null           r21            r21            null           r21            r21            null           r21            r21            null           null           null           null           null           null           null           null           null           r21            null           null           null           null           r21            r21            null           null           r21            r21            r21            r21            r21            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
34             s61            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
35             null           null           null           null           r19            r19            r19            r19            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           r19            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
36             r25            r25            null           null           null           null           null           null           r25            null           null           r25            r25            null           r25            r25            null           r25            r25            null           null           null           null           null           null           null           null           null           r25            null           null           null           null           r25            r25            null           null           r25            r25            r25            r25            r25            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
37             r26            r26            null           null           null           null           null           null           r26            null           null           r26            r26            null           r26            r26            null           r26            r26            null           null           null           null           null           null           null           null           null           r26            null           null           null           null           r26            r26            null           null           r26            r26            r26            r26            r26            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
38             r27            r27            null           null           null           null           null           null           r27            null           null           r27            r27            null           r27            r27            null           r27            r27            null           null           null           null           null           null           null           null           null           r27            null           null           null           null           r27            r27            null           null           r27            r27            r27            r27            r27            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
39             r28            r28            null           null           null           null           null           null           r28            null           null           r28            r28            null           r28            r28            null           r28            r28            null           null           null           null           null           null           null           null           null           r28            null           null           null           null           r28            r28            null           null           r28            r28            r28            r28            r28            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
40             r29            r29            null           null           null           null           null           null           r29            null           null           r29            r29            null           r29            r29            null           r29            r29            null           null           null           null           null           null           null           null           null           r29            null           null           null           null           r29            r29            null           null           r29            r29            r29            r29            r29            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
41             r30            r30            null           null           null           null           null           null           r30            null           null           r30            r30            null           r30            r30            null           r30            r30            null           null           null           null           null           null           null           null           null           r30            null           null           null           null           r30            r30            null           null           r30            r30            r30            r30            r30            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
42             r31            r31            null           null           null           null           null           null           r31            null           null           r31            r31            null           r31            r31            null           r31            r31            null           null           null           null           null           null           null           null           null           r31            null           null           null           null           r31            r31            null           null           r31            r31            r31            r31            r31            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
