state number   IDENT          ;              [              ]              VOID           BOOL           INT            FLOAT          (              )              ,              {              }              #              WHILE          IF             ELSE           FOR            RETURN         =              OR             AND            EQ             NE             LE             GE             <              >              +              –              *              /              %              !              -              .              SIZE           BOOL_LIT       INT_LIT        FLOAT_LIT      NEW            BREAK          $              decl_list      decl           if_stmt        comp_stmt      program        local_decl     type_spec      param          stmt_list      expr           return_stmt    while_stmt     params         expr_stmt      param_list     arg_list       args           func_decl      s              opt_expr       break_stmt     for_stmt       var_decl       stmt           local_decls    
65             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           109            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
66             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           110            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
67             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           111            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
68             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           112            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
69             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           113            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
70             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           114            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
71             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           115            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
72             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           116            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
73             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           117            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
74             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           118            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
75             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           119            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
76             r24            r24            null           null           s7             s8             s9             s10            r24            null           null           r24            r24            null           r24            r24            null           r24            r24            null           null           null           null           null           null           null           null           null           r24            null           null           null           null           r24            r24            null           null           r24            r24            r24            r24            r24            null           null           null           null           null           null           33             34             null           120            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
77             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           121            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
78             s52            r40            null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           123            null           null           null           null           null           null           null           null           null           122            null           null           null           null           null           
79             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           124            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
80             r41            r41            null           null           null           null           null           null           r41            null           null           r41            r41            null           r41            r41            null           r41            r41            null           null           null           null           null           null           null           null           null           r41            null           null           null           null           r41            r41            null           null           r41            r41            r41            r41            r41            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
81             null           s125           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
82             r74            r74            null           null           null           null           null           null           r74            null           null           r74            r74            null           r74            r74            null           r74            r74            null           null           null           null           null           null           null           null           null           r74            null           null           null           null           r74            r74            null           null           r74            r74            r74            r74            r74            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
83             s52            null           null           null           null           null           null           null           s56            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s55            null           null           null           null           s53            s54            null           null           s57            s58            s59            s60            null           null           null           null           null           null           null           null           null           null           null           126            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
84             s128           null           null           null           null           null           null           null           s132           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s131           null           null           null           null           s129           s130           null           null           s133           s134           s135           s136           null           null           null           null           null           null           null           null           null           null           null           127            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
85             s140           null           null           null           null           null           null           null           s144           r71            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s143           null           null           null           null           s141           s142           null           null           s145           s146           s147           s148           null           null           null           null           null           null           null           null           null           null           null           139            null           null           null           null           null           138            137            null           null           null           null           null           null           null           null           
86             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s149           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
87             null           r58            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
88             null           r59            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
89             null           r60            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
90             null           null           null           null           null           null           null           null           null           s150           null           null           null           null           null           null           null           null           null           null           s151           s152           s153           s154           s155           s156           s157           s158           s159           s160           s161           s162           s163           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
91             null           null           s165           null           null           null           null           null           s166           r62            null           null           null           null           null           null           null           null           null           s164           r62            r62            r62            r62            r62            r62            r62            r62            r62            r62            r62            r62            r62            null           null           s167           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
92             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           168            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
93             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           169            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
94             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           170            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
95             s91            null           null           null           null           null           null           null           s95            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s94            null           null           null           null           s92            s93            null           null           s96            s97            s98            s99            null           null           null           null           null           null           null           null           null           null           null           171            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
96             null           null           null           null           null           null           null           null           null           r66            null           null           null           null           null           null           null           null           null           null           r66            r66            r66            r66            r66            r66            r66            r66            r66            r66            r66            r66            r66            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
97             null           null           null           null           null           null           null           null           null           r67            null           null           null           null           null           null           null           null           null           null           r67            r67            r67            r67            r67            r67            r67            r67            r67            r67            r67            r67            r67            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
98             null           null           null           null           null           null           null           null           null           r68            null           null           null           null           null           null           null           null           null           null           r68            r68            r68            r68            r68            r68            r68            r68            r68            r68            r68            r68            r68            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
99             null           null           null           null           s101           s102           s103           s104           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           172            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
100            null           null           s173           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
101            null           null           r8             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
102            null           null           r9             null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
103            null           null           r10            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
104            null           null           r11            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
105            r22            r22            null           null           r22            r22            r22            r22            r22            null           null           r22            r22            null           r22            r22            null           r22            r22            null           null           null           null           null           null           null           null           null           r22            null           null           null           null           r22            r22            null           null           r22            r22            r22            r22            r22            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
106            null           null           null           s174           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
107            null           r45            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
108            null           r46            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           s63            s64            s65            s66            s67            s68            s69            s70            s71            s72            s73            s74            s75            null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           null           
